attributes,FirstName,LastName,Title,Email,Phone,Country__c,Company,Industry,Status,AnnualRevenue,NumberOfEmployees,Technology__c,Technology_Service__c,RevenueRange,Exists,LeadScore,LeadScoreFinal,LeadCategory
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFFEA4')])",Charmaine,Armstrong,CTO,charmaine@gmail.com,(555) 555-5555,IN,"Senior Manager, IT Data Management & Analytics",Chemicals,Qualified,700000.0,50,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,140,41,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFGEA4')])",Clementine,Arnett,Marketing Coordinator,clementine@gmail.com,(777) 777-7777,IN,"Director, Information Technology",Communications,Unqualified,750000.0,55,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,110,29,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFHEA4')])",Clover,Arnig,Financial Analyst,clover@gmail.com,(888) 888-8888,IN,"Vice President, Information Technology",Construction,Contacted,220000.0,25,AI,AI Chatbots and Virtual Assistants,0 - 500k,Yes,100,25,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFIEA4')])",Coco,Arnis,Production Supervisor,coco@gmail.com,(444) 444-4444,IN,"Assistant VP, Information Protection Services",Consulting,Open,1400000.0,90,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFJEA4')])",Cora,Arnold,Healthcare Coordinator,cora@gmail.com,(222) 222-2222,IN,"Director, Information Technology",Education,Qualified,850000.0,75,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,140,41,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFKEA4')])",Cosima,Arnott,Data Scientist,cosima@gmail.com,(111) 111-1111,IN,"Director, IT User Experience",Electronics,Unqualified,650000.0,40,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,110,29,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFLEA4')])",Dahlia,Arnst,Business Consultant,dahlia@gmail.com,(333) 333-3333,IN,"Senior Manager, Research & Development System Test",Energy,Contacted,900000.0,80,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,130,37,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFMEA4')])",Daisy,Arpin,Marketing Manager,daisy@gmail.com,(666) 666-6666,IN,"Deputy Director, Information Solutions",Engineering,Open,550000.0,45,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFNEA4')])",Dallas,Arrants,Healthcare Director,dallas@gmail.com,(999) 999-9999,IN,"Vice President, Information Technology",Entertainment,Qualified,180000.0,30,AI,AI Chatbots and Virtual Assistants,0 - 500k,Yes,110,29,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFOEA4')])",Veer,Arras,Data Analyst,veer@gmail.com,(777) 777-7777,IN,"Vice President, Technology & Business Development - Genesis Alkali",Environmental,Unqualified,1600000.0,180,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,110,29,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFPEA4')])",Ellie,Arrington,CTO,ellie@gmail.com,(555) 555-5555,IN,Senior Research Engineer & Machine Design Coordinator,Finance,Contacted,700000.0,50,Marketing,Digital Marketing,500k - 2M,No,210,70,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFQEA4')])",Louise,ADAM,Marketing Coordinator,louise@gmail.com,(777) 777-7777,IN,"Director, Information Technology",Food & Beverage,Open,750000.0,55,Marketing,Digital Marketing,500k - 2M,No,200,66,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGPEA4')])",Jada,DONALD,Production Supervisor,jada@gmail.com,(444) 444-4444,IN,"Director, Information Technology",Finance,Qualified,650000.0,40,Manufacturing,Supply Chain Management,500k - 2M,No,220,75,Hot Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGQEA4')])",radie,DONALDSON,Healthcare Coordinator,radie@gmail.com,(222) 222-2222,IN,"Director, Business Innovation & Technology Strategy",Food & Beverage,Unqualified,900000.0,80,Manufacturing,Process Optimization and Automation,500k - 2M,No,190,62,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGREA4')])",kalei,DOUGLAS,Data Scientist,kalei@gmail.com,(111) 111-1111,IN,"Senior VP, Cloud Platforms",Government,Contacted,550000.0,45,Manufacturing,Supply Chain Management,500k - 2M,No,210,70,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGSEA4')])",jade,DOW,Business Consultant,jade@gmail.com,(333) 333-3333,IN,"Senior Manager, Category",Healthcare,Open,180000.0,30,Manufacturing,Process Optimization and Automation,0 - 500k,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGOEA4')])",Isla,DOCHERTY,Financial Analyst,isla@gmail.com,(888) 888-8888,IN,"Vice President, IT Infrastructure",Environmental,Open,850000.0,75,Manufacturing,Supply Chain Management,500k - 2M,No,200,66,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGTEA4')])",taila,DOWNIE,Marketing Manager,taila@gmail.com,(666) 666-6666,USA,"Deputy Director, Infrastructure Security",Hospitality,Qualified,1600000.0,180,Manufacturing,Process Optimization and Automation,500k - 2M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGUEA4')])",Jolie,DRUMMOND,Healthcare Director,jolie@gmail.com,(999) 999-9999,USA,"Associate Director, Information Technology, Enterprise Services & Value Management",Insurance,Unqualified,700000.0,50,Manufacturing,Supply Chain Management,500k - 2M,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGVEA4')])",Joplin,DUFF,Data Analyst,joplin@gmail.com,(777) 777-7777,USA,"Chief Information Officer, CVP",Machinery,Contacted,750000.0,55,Manufacturing,Process Optimization and Automation,500k - 2M,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGWEA4')])",Joss,DUFFY,CTO,joss@gmail.com,(555) 555-5555,USA,"Director, Information Technology",Manufacturing,Open,220000.0,25,Manufacturing,Supply Chain Management,0 - 500k,No,130,37,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGXEA4')])",Jules,DUNCAN,Marketing Coordinator,jules@gmail.com,(777) 777-7777,USA,Chief Information Officer,Media,Qualified,1400000.0,90,Manufacturing,Process Optimization and Automation,500k - 2M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGYEA4')])",Juliet,DUNLOP,Financial Analyst,juliet@gmail.com,(888) 888-8888,USA,"Director, Information Security & Compliance",Not For Profit,Unqualified,850000.0,75,Manufacturing,Supply Chain Management,500k - 2M,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGZEA4')])",June,DUNN,Production Supervisor,june@gmail.com,(444) 444-4444,USA,"Director, Financial Planning, Analysis & Business Intelligence",Other,Contacted,650000.0,40,Manufacturing,Process Optimization and Automation,500k - 2M,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGaEAO')])",Juniper,EDGAR,Healthcare Coordinator,juniper@gmail.com,(222) 222-2222,USA,Chief Information,Recreation,Open,900000.0,80,Manufacturing,Supply Chain Management,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGbEAO')])",Kaia,ELLIOT,Data Scientist,kaia@gmail.com,(111) 111-1111,USA,"Assistant VP, Information Technology",Retail,Qualified,550000.0,45,SAP,SAP Customization and Development,500k - 2M,Yes,100,25,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGcEAO')])",Kira,FALCONER,Business Consultant,kira@gmail.com,(333) 333-3333,USA,"Senior Manager,Customer Centricity & Continuous Improvement Program",Shipping,Unqualified,180000.0,30,SAP,SAP Implementation and Consulting,0 - 500k,Yes,40,0,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGdEAO')])",Kyla,FERGUSON,Marketing Manager,kyla@gmail.com,(666) 666-6666,USA,Senior VP & Chief Information Officer,Technology,Contacted,1600000.0,180,SAP,SAP Customization and Development,500k - 2M,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGeEAO')])",krisha,FINDLAY,Healthcare Director,krisha@gmail.com,(999) 999-9999,USA,"Executive Director, Market Research",Telecommunications,Open,700000.0,50,SAP,SAP Implementation and Consulting,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGfEAO')])",trisha,FINLAYSON,Data Analyst,trisha@gmail.com,(777) 777-7777,USA,Chief Information Security Officer,Transportation,Qualified,750000.0,55,SAP,SAP Customization and Development,500k - 2M,Yes,100,25,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGgEAO')])",prisha,FISHER,CTO,prisha@gmail.com,(555) 555-5555,USA,"Director, Information Technology",Utilities,Unqualified,220000.0,25,SAP,SAP Customization and Development,0 - 500k,Yes,40,0,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGhEAO')])",Lace,FLEMING,Marketing Coordinator,lace@gmail.com,(777) 777-7777,USA,"Assistant VP, Information Technology",Apparel,Contacted,1400000.0,90,SAP,SAP Implementation and Consulting,500k - 2M,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGiEAO')])",Laurel,FORBES,Financial Analyst,laurel@gmail.com,(888) 888-8888,USA,"Manager, IT Governance Risk & Compliance",Banking,Open,850000.0,75,SAP,SAP Customization and Development,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGjEAO')])",Layla,FORREST,"SVP, Production",layla@gmail.com,(444) 444-4444,USA,"Dvlpmt Director, Software",Biotechnology,Qualified,780000.0,65,SAP,SAP Customization and Development,500k - 2M,Yes,100,25,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGkEAO')])",Layne,FORSYTH,"SVP, Procurement",layne@gmail.com,(222) 222-2222,USA,Business Intelligence Coordinator,Chemicals,Unqualified,67000.0,40,SAP,SAP Implementation and Consulting,0 - 500k,Yes,40,0,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGlEAO')])",Lennon,FRASER,"VP, Technology",lennon@gmail.com,(111) 111-1111,USA,"Manager, IT Business Relationship (Europe)",Communications,Contacted,34000.0,60,RPA,Process Analysis and Optimization,0 - 500k,Yes,60,8,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGmEAO')])",Lessie,FULTON,Director of Vendor Relations,lessie@gmail.com,(333) 333-3333,USA,"Director, Infrastructure Engineering",Construction,Open,970000.0,50,RPA,RPA Consulting and Strategy,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGnEAO')])",Lily,FYFE,CEO,lily@gmail.com,(666) 666-6666,USA,Chief Information Officer,Consulting,Qualified,98770.0,76,RPA,Process Analysis and Optimization,0 - 500k,Yes,70,12,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGoEAO')])",Lola,GALLACHER,"VP, Finance",lola@gmail.com,(999) 999-9999,USA,"Director, Big Data & Business Intelligence",Education,Unqualified,970000.0,90,RPA,RPA Consulting and Strategy,500k - 2M,Yes,70,12,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGpEAO')])",London,GALLOWAY,"VP, Facilities",london@gmail.com,(123) 456-9087,USA,"Manager, IS Solutions",Electronics,Contacted,560000.0,100,RPA,Process Analysis and Optimization,500k - 2M,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGqEAO')])",Lucia,GARDINER,"SVP, Operations",lucia@gmail.com,(987) 654-1023,USA,"Vice President, Solutions",Energy,Open,450000.0,150,RPA,RPA Consulting and Strategy,0 - 500k,Yes,50,4,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGrEAO')])",tally,GARDNER,CFO,tally@gmail.com,(555) 123-0055,USA,"Director, IT Data Platform",Engineering,Qualified,33000.0,56,RPA,RPA Consulting and Strategy,0 - 500k,Yes,70,12,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGsEAO')])",lucyy,GEDDES,"VP, Production",lucyy@gmail.com,(789) 456-5645,USA,"Director, Information Technology",Entertainment,Unqualified,400000.0,87,RPA,Process Analysis and Optimization,0 - 500k,Yes,40,0,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGtEAO')])",lia,GIBB,"SVP, Administration and Finance",lia@gmail.com,(246) 135-0976,USA,"Senior Managing Director, Client Service Technology",Environmental,Contacted,290000.0,90,RPA,RPA Consulting and Strategy,0 - 500k,Yes,60,8,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGuEAO')])",Luna,GIBSON,CEO,luna@gmail.com,(768) 432-7867,USA,Content Management Coordinator,Finance,Open,560000.0,70,RPA,Process Analysis and Optimization,500k - 2M,Yes,80,16,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGvEAO')])",Lyla,GILCHRIST,"SVP, Technology",lyla@gmail.com,(666) 666-6666,USA,"Senior Director, Business Intelligence & Analytics",Food & Beverage,Qualified,870000.0,69,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,100,25,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGwEAO')])",Lyra,GILLESPIE,CFO,lyra@gmail.com,(555) 123-0055,USA,Dir of Global Product Development and Mkt Research,Government,Unqualified,450000.0,45,AI,AI Chatbots and Virtual Assistants,0 - 500k,Yes,40,0,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGxEAO')])",Lyric,GILLIES,Regional General Manager,lyric@gmail.com,(111) 111-1111,USA,Marketing Services Coordinator,Healthcare,Contacted,560000.0,123,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,90,20,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGyEAO')])",Mabel,GILMOUR,"VP, Facilities",mabel@gmail.com,(987) 654-1023,USA,Division President,Hospitality,Open,75000.0,76,AI,AI Chatbots and Virtual Assistants,0 - 500k,Yes,50,4,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEGzEAO')])",Mae,GORDON,"VP, Administration",mae@gmail.com,(666) 666-6666,USA,"Vice President, Information Technology",Insurance,Qualified,850000.0,98,AI,AI Chatbots and Virtual Assistants,500k - 2M,Yes,100,25,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEH0EAO')])",Maeve,GRAHAM,Healthcare Coordinator,maeve@gmail.com,(123) 456-9087,USA,"Senior Manager, Software Engineering & Development",Machinery,Unqualified,78900.0,90,AI,AI Chatbots and Virtual Assistants,0 - 500k,Yes,40,0,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFREA4')])",Daphne,ADAMS,Financial Analyst,daphne@gmail.com,(888) 888-8888,USA,"Director, Systems Engineering",Government,Qualified,220000.0,25,Marketing,Digital Marketing,0 - 500k,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFSEA4')])",Delaney,ADAMSON,Production Supervisor,delaney@gmail.com,(444) 444-4444,USA,"Director, Strategic & Technical Operations Planning",Healthcare,Unqualified,1400000.0,90,Marketing,Marketing Automation,500k - 2M,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFTEA4')])",Delilah,AITKEN,Healthcare Coordinator,delilah@gmail.com,(222) 222-2222,USA,"Director, Service Delivery",Hospitality,Contacted,850000.0,75,Marketing,Digital Marketing,500k - 2M,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFUEA4')])",Della,ALEXANDER,Data Scientist,della@gmail.com,(111) 111-1111,USA,"Managing Director, Health IT Strategy",Insurance,Open,650000.0,40,Marketing,Marketing Automation,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFVEA4')])",Delphine,ALLAN,Business Consultant,delphine@gmail.com,(333) 333-3333,USA,"Director, Business Systems",Machinery,Qualified,900000.0,80,Marketing,Digital Marketing,500k - 2M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFWEA4')])",Dionne,ALLISON,"SVP, Production",dionne@gmail.com,(666) 666-6666,USA,"Director, Software Development",Manufacturing,Unqualified,550000.0,45,Marketing,Marketing Automation,500k - 2M,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFXEA4')])",Dixie,ANDERSON,"SVP, Procurement",dixie@gmail.com,(999) 999-9999,USA,"VP, Strategic Business Planning",Media,Contacted,180000.0,30,Marketing,Digital Marketing,0 - 500k,No,140,41,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFYEA4')])",Eden,ANGUS,"VP, Technology",eden@gmail.com,(777) 777-7777,USA,"Vice President, Product Management",Not For Profit,Open,1600000.0,180,Marketing,Marketing Automation,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFZEA4')])",Ella,ARMSTRONG,Director of Vendor Relations,ella@gmail.com,(555) 555-5555,USA,"Director, IT Finance, Strategy & Governance",Other,Qualified,700000.0,50,Marketing,Digital Marketing,500k - 2M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFaEAO')])",Elodie,BAILLIE,CEO,elodie@gmail.com,(777) 777-7777,USA,"Vice President, Technology",Recreation,Unqualified,750000.0,55,Marketing,Marketing Automation,500k - 2M,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFbEAO')])",Frankie,BAIN,"VP, Finance",frankie@gmail.com,(888) 888-8888,USA,"Director, Cyber Security Engineering",Retail,Contacted,220000.0,25,Marketing,Digital Marketing,0 - 500k,No,140,41,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFcEAO')])",Louise,BAIRD,"VP, Facilities",louise@gmail.com,(444) 444-4444,USA,"Director, Program Management",Shipping,Open,1400000.0,90,Financial,Auditing and Assurance,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFdEAO')])",Ellie,BARCLAY,"SVP, Operations",ellie@gmail.com,(222) 222-2222,USA,"Senior Director, Mechanical Development & Integration",Technology,Qualified,850000.0,75,Financial,Auditing and Assurance,500k - 2M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFeEAO')])",Eloise,BARR,CFO,eloise@gmail.com,(111) 111-1111,USA,"Director, IT Business Intelligence",Telecommunications,Unqualified,780000.0,65,Financial,Financial Planning and Analysis,500k - 2M,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFfEAO')])",Elowen,BAXTER,"VP, Production",elowen@gmail.com,(333) 333-3333,USA,Chief & It Regional Officer,Transportation,Contacted,67000.0,40,Financial,Auditing and Assurance,0 - 500k,No,140,41,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFgEAO')])",Elsie,BEATON,"SVP, Administration and Finance",elsie@gmail.com,(666) 666-6666,USA,"Vice President, Product Management, Strategy & Operations",Utilities,Open,34000.0,60,Financial,Financial Planning and Analysis,0 - 500k,No,130,37,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFhEAO')])",Ember,BEATTIE,CEO,ember@gmail.com,(999) 999-9999,USA,Head of Technology Communications,Apparel,Qualified,970000.0,50,Financial,Auditing and Assurance,500k - 2M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFiEAO')])",Embry,BELL,"SVP, Technology",embry@gmail.com,(123) 456-9087,USA,"Director, Network Operations Center",Banking,Unqualified,98770.0,76,Financial,Financial Planning and Analysis,0 - 500k,No,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFjEAO')])",Emilia,BEVERIDGE,CFO,emilia@gmail.com,(987) 654-1023,USA,"Director, Security",Biotechnology,Contacted,970000.0,90,Financial,Auditing and Assurance,500k - 2M,No,170,54,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFmEAO')])",Everleigh,BOYD,"VP, Administration",everleigh@gmail.com,(246) 135-0976,USA,"Director, Information Technology",Construction,Unqualified,33000.0,56,Financial,Financial Planning and Analysis,0 - 500k,No,120,33,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFnEAO')])",Evie,BOYLE,Financial Analyst,evie@gmail.com,(768) 432-7867,USA,"Director, IT Service Resolution",Consulting,Contacted,400000.0,87,Financial,Auditing and Assurance,0 - 500k,No,140,41,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFoEAO')])",Everly,BRODIE,Marketing Coordinator,everly@gmail.com,(666) 666-6666,USA,"Director, Enterprise Applications Strategy & Integration",Education,Open,290000.0,90,Financial,Financial Planning and Analysis,0 - 500k,No,130,37,Cold Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFpEAO')])",Faye,BROWN,Healthcare Director,faye@gmail.com,(555) 123-0055,USA,"Director, Software Engineering",Electronics,Qualified,560000.0,70,Financial,Auditing and Assurance,500k - 2M,No,180,58,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFkEAO')])",Emmy,BLACK,Regional General Manager,emmy@gmail.com,(555) 123-0055,USA,"Director, Technology",Chemicals,Open,560000.0,100,Financial,Financial Planning and Analysis,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFlEAO')])",Esme,BLAIR,"VP, Facilities",esme@gmail.com,(789) 456-5645,USA,Finance Rotational,Communications,Qualified,450000.0,150,Financial,Auditing and Assurance,0 - 500k,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFqEAO')])",Frankie,BRUCE,Data Scientist,frankie@gmail.com,(111) 111-1111,USA,New Product Development,Energy,Unqualified,870000.0,69,Financial,Financial Planning and Analysis,500k - 2M,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFrEAO')])",Fay,BRYCE,Account Executive,fay@gmail.com,(987) 654-1023,USA,"Director, Information Technology",Engineering,Contacted,450000.0,45,Healthcare,Healthcare Compliance and Regulations,0 - 500k,No,140,41,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFsEAO')])",Fiona,BUCHAN,Marketing Manager,fiona@gmail.com,(666) 666-6666,USA,"Senior Director, Global Services IP & PMO (North America)",Entertainment,Open,560000.0,123,Healthcare,Healthcare Data Management,500k - 2M,No,160,50,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFtEAO')])",Flora,BUCHANAN,Healthcare Coordinator,flora@gmail.com,(123) 456-9087,USA,Group Head of Enterprise Security Solutions,Environmental,Qualified,75000.0,76,Healthcare,Healthcare Compliance and Regulations,0 - 500k,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFuEAO')])",Florence,BURNETT,Production Supervisor,florence@gmail.com,(444) 444-4444,USA,"Director, Software Operations",Finance,Unqualified,850000.0,98,Healthcare,Healthcare Data Management,500k - 2M,No,150,45,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFvEAO')])",Francesca,BURNS,Marketing Manager,francesca@gmail.com,(888) 999-0000,USA,"Director, Information Technology",Food & Beverage,Contacted,78900.0,90,Healthcare,Healthcare Compliance and Regulations,0 - 500k,No,140,41,Warm Lead
"OrderedDict([('type', 'Lead'), ('url', '/services/data/v57.0/sobjects/Lead/00Q76000005BEFwEAO')])",Freya,CAIRNS,Marketing Coordinator,freya@gmail.com,(777) 777-7777,USA,"Director, Software Development & Quality Assurance",Government,Open,1000000.0,150,Healthcare,Healthcare Data Management,500k - 2M,No,160,50,Warm Lead
